"player_name","club","position","total_attempts","on_target","off_target","blocked","match_played","goals","right_foot","left_foot","headers","others","inside_area","outside_areas","penalties"
"Benzema","Real Madrid","Forward",45,23,13,9,12,15,11,1,3,0,13,2,3
"Salah","Liverpool","Forward",42,22,11,9,13,8,0,8,0,0,7,1,1
"Mahrez","Man. City","Midfielder",37,18,8,11,12,7,1,4,2,0,7,0,2
"Sané","Bayern","Midfielder",33,13,12,8,10,6,1,5,0,0,3,3,0
"Lewandowski","Bayern","Forward",31,19,8,4,10,13,8,3,1,1,13,0,3
"Martínez","Inter","Forward",28,7,10,11,8,1,1,0,0,0,0,1,0
"Mbappé","Paris","Forward",27,16,6,5,8,6,6,0,0,0,6,0,0
"Vinícius Júnior","Real Madrid","Forward",27,8,10,9,13,4,3,1,0,0,4,0,0
"Havertz","Chelsea","Midfielder",26,11,9,6,9,3,0,1,2,0,3,0,0
"Antony","Ajax","Forward",26,10,9,7,7,2,0,2,0,0,2,0,0
"Messi","Paris","Forward",26,10,8,8,7,5,0,5,0,0,3,2,2
"Danjuma","Villarreal","Midfielder",25,14,5,6,11,6,3,3,0,0,6,0,1
"Džeko","Inter","Forward",25,12,6,7,7,3,1,1,1,0,3,0,0
"Haller","Ajax","Forward",24,15,8,1,8,11,3,4,3,1,11,0,1
"De Bruyne","Man. City","Midfielder",24,7,9,8,10,2,1,0,1,0,2,0,0
"Rodrygo","Real Madrid","Forward",23,10,7,6,11,5,2,2,1,0,5,0,0
"Ronaldo","Man. United","Forward",22,12,8,2,7,6,5,0,1,0,4,2,0
"Foden","Man. City","Midfielder",22,9,7,6,11,3,2,0,1,0,3,0,0
"Zapata","Atalanta","Forward",22,8,7,7,6,3,2,1,0,0,3,0,0
"André Silva","Leipzig","Forward",21,10,6,5,6,3,2,0,1,0,3,0,0
"Mané","Liverpool","Midfielder",21,8,6,7,13,5,2,3,0,0,5,0,0
"Gerard Moreno","Villarreal","Forward",21,6,9,6,7,2,0,1,1,0,2,0,1
"Coman","Bayern","Forward",20,6,10,4,9,2,1,1,0,0,2,0,0
"Gnabry","Bayern","Forward",18,8,6,4,8,3,2,0,0,0,3,0,0
"Morata","Juventus","Forward",18,7,8,3,7,2,1,1,0,0,2,0,0
"Nkunku","Leipzig","Midfielder",17,11,4,2,6,7,3,1,3,0,7,0,0
"Sterling","Man. City","Forward",17,6,9,2,12,3,2,1,0,0,2,1,0
"Taremi","Porto","Forward",17,3,10,4,6,1,0,0,1,0,1,0,0
"Adeyemi","Salzburg","Forward",16,10,3,3,8,3,0,3,0,0,3,0,2
"Paulinho","Sporting CP","Forward",16,8,7,1,8,3,0,3,0,0,1,2,0
"Diogo Jota","Liverpool","Forward",16,7,4,5,11,1,0,0,1,0,1,0,0
"Berghuis","Ajax","Forward",16,5,6,5,8,3,0,3,0,0,3,0,0
"Yaremchuk","Benfica","Forward",15,9,5,1,10,3,0,2,1,0,3,0,0
"Reus","Dortmund","Midfielder",15,9,3,3,6,3,3,0,0,0,3,0,2
"Núñez","Benfica","Forward",15,8,7,0,10,6,5,0,1,0,6,0,1
"Müller","Bayern","Forward",14,8,3,3,10,4,1,2,1,0,3,1,0
"Keïta","Liverpool","Midfielder",14,2,8,4,10,1,1,0,0,0,0,1,0
"Pedro Gonçalves","Sporting CP","Midfielder",13,7,3,3,5,4,4,0,0,0,3,1,1
"S. Thill","Sheriff","Midfielder",13,6,5,2,6,2,0,1,0,1,0,2,0
"Ziyech","Chelsea","Midfielder",13,6,2,5,9,1,0,1,0,0,1,0,0
"Firmino","Liverpool","Midfielder",13,5,2,6,7,5,3,1,1,0,4,1,0
"Chiesa","Juventus","Forward",13,4,8,1,4,2,0,2,0,0,2,0,0
"De Paul","Atlético","Midfielder",13,4,6,3,9,1,1,0,0,0,1,0,0
"Claudinho","Zenit","Midfielder",13,4,6,3,6,2,1,0,1,0,2,0,0
"Bellingham","Dortmund","Midfielder",13,4,6,3,6,1,1,0,0,0,1,0,0
"Haaland","Dortmund","Forward",12,7,5,0,3,3,0,1,2,0,3,0,0
"Kroos","Real Madrid","Midfielder",12,7,1,4,12,2,1,1,0,0,0,2,0
"Vanaken","Club Brugge","Midfielder",12,6,1,5,6,3,3,0,0,0,3,0,0
"Dybala","Juventus","Forward",12,5,7,0,5,3,0,3,0,0,3,0,2
"Griezmann","Atlético","Forward",12,5,5,2,9,4,0,4,0,0,4,0,0
"David","LOSC","Forward",12,5,5,2,8,3,1,2,0,0,3,0,1
"Fernando","Shakhtar Donetsk","Midfielder",12,5,4,3,5,2,2,0,0,0,2,0,0
"James","Chelsea","Defender",12,5,3,4,6,1,1,0,0,0,1,0,0
"Henderson","Liverpool","Midfielder",12,4,4,4,12,1,1,0,0,0,0,1,0
"João Félix","Atlético","Forward",12,3,7,2,8,1,0,0,1,0,1,0,0
"Ocampos","Sevilla","Midfielder",12,3,7,2,6,1,1,0,0,0,1,0,0
"Tadić","Ajax","Forward",12,3,4,5,7,2,1,1,0,0,2,0,0
"Origi","Liverpool","Forward",12,2,8,2,7,1,0,0,1,0,1,0,0
"Sučić","Salzburg","Midfielder",12,2,5,5,8,1,0,1,0,0,1,0,1
"Malen","Dortmund","Forward",11,5,3,3,6,3,1,2,0,0,3,0,0
"Traore","Sheriff","Midfielder",11,4,6,1,6,2,0,1,1,0,2,0,0
"João Cancelo","Man. City","Defender",11,4,3,4,9,2,2,0,0,0,1,1,0
"Forsberg","Leipzig","Forward",11,4,3,4,6,2,2,0,0,0,1,1,1
"Malinovskyi","Atalanta","Midfielder",11,4,3,4,5,1,0,1,0,0,0,1,0
"Ikoné","LOSC","Midfielder",11,4,2,5,5,1,1,0,0,0,1,0,0
"Lukaku","Chelsea","Forward",11,3,6,2,6,2,0,1,1,0,2,0,0
"Mount","Chelsea","Midfielder",11,3,5,3,7,1,1,0,0,0,1,0,0
"Moumi Ngamaleu","Young Boys","Midfielder",11,2,5,4,6,1,1,0,0,0,1,0,0
"Rüdiger","Chelsea","Defender",11,1,8,2,9,1,0,0,1,0,1,0,0
"Brozović","Inter","Midfielder",11,1,4,6,8,1,1,0,0,0,1,0,0
"Werner","Chelsea","Forward",10,5,0,5,5,4,4,0,0,0,4,0,0
"Rafa Mir","Sevilla","Forward",10,4,5,1,6,1,1,0,0,0,1,0,0
"Elia","Young Boys","Forward",10,3,7,0,6,1,1,0,0,0,1,0,0
"Škriniar","Inter","Defender",10,3,6,1,8,1,1,0,0,0,1,0,0
"Siebatcheu","Young Boys","Forward",10,3,6,1,6,2,1,0,1,0,2,0,0
"Musiala","Bayern","Midfielder",10,3,2,5,8,1,0,1,0,0,1,0,0
"Grealish","Man. City","Midfielder",10,3,0,7,7,1,1,0,0,0,1,0,0
"Rashford","Man. United","Forward",10,2,5,3,5,1,1,0,0,0,1,0,0
"Gonçalo Ramos","Benfica","Forward",10,2,4,4,7,1,1,0,0,0,1,0,0
"Jesus","Man. City","Forward",9,7,1,1,8,4,4,0,0,0,4,0,0
"Kean","Juventus","Forward",9,4,4,1,6,1,0,0,1,0,1,0,0
"L. Nmecha","Wolfsburg","Forward",9,4,1,4,5,2,1,0,1,0,2,0,0
"Thiago Alcántara","Liverpool","Midfielder",9,3,6,0,10,1,1,0,0,0,0,1,0
"Capoue","Villarreal","Midfielder",9,3,4,2,12,2,1,1,0,0,2,0,0
"Correa","Atlético","Forward",9,3,4,2,10,1,1,0,0,0,1,0,0
"Rafa Silva","Benfica","Forward",9,1,4,4,9,1,1,0,0,0,1,0,0
"Azmoun","Zenit","Forward",8,6,1,1,5,2,2,0,0,0,2,0,0
"Larin","Beşiktaş","Forward",8,5,2,1,5,1,0,0,1,0,1,0,0
"Rits","Club Brugge","Midfielder",8,4,2,2,6,2,1,1,0,0,2,0,0
"Muriel","Atalanta","Forward",8,4,2,2,5,1,1,0,0,0,0,1,0
"Pedro Porro","Sporting CP","Defender",8,3,2,3,7,1,0,0,0,1,1,0,0
"Ghezzal","Beşiktaş","Midfielder",8,2,6,0,5,1,0,1,0,0,1,0,1
"Luis Suárez","Atlético","Forward",8,2,5,1,7,1,1,0,0,0,1,0,1
"Wöber","Salzburg","Defender",8,2,4,2,7,1,0,1,0,0,0,1,0
"Okafor","Salzburg","Midfielder",7,5,1,1,6,3,3,0,0,0,3,0,0
"Bernardo Silva","Man. City","Midfielder",7,4,2,1,11,3,0,3,0,0,3,0,0
"Wendel","Zenit","Midfielder",7,4,2,1,6,1,1,0,0,0,1,0,0
"Rakitskyy","Zenit","Defender",7,3,2,2,6,1,0,1,0,0,1,0,1
"Rakitić","Sevilla","Midfielder",7,3,2,2,5,2,2,0,0,0,2,0,2
"Garmash","Dynamo Kyiv","Midfielder",7,3,1,3,6,1,1,0,0,0,1,0,0
"Hudson-Odoi","Chelsea","Midfielder",7,3,0,4,5,1,0,1,0,0,1,0,0
"Coates","Sporting CP","Defender",7,2,4,1,6,2,0,0,2,0,2,0,0
"Trigueros","Villarreal","Midfielder",6,6,0,0,9,1,1,0,0,0,1,0,0
"Sarabia","Sporting CP","Forward",6,4,0,2,8,2,1,1,0,0,2,0,1
"Neres","Ajax","Forward",6,3,1,2,5,1,0,1,0,0,1,0,0
"Pulišić","Chelsea","Midfielder",6,2,4,0,7,2,2,0,0,0,2,0,0
"Konaté","Liverpool","Defender",6,2,3,1,8,2,0,0,2,0,2,0,0
"Rieder","Young Boys","Midfielder",6,2,1,3,6,1,1,0,0,0,0,1,0
"Alex Sandro","Juventus","Defender",6,1,5,0,7,1,0,0,1,0,1,0,0
"Vlahović","Juventus","Forward",5,4,1,0,2,1,1,0,0,0,1,0,0
"Sancho","Man. United","Midfielder",5,3,1,1,7,1,1,0,0,0,1,0,0
"Sierro","Young Boys","Midfielder",5,3,1,1,5,1,0,1,0,0,1,0,0
"Asensio","Real Madrid","Forward",5,3,0,2,8,1,0,1,0,0,0,1,0
"Mukiele","Leipzig","Defender",5,2,2,1,6,1,1,0,0,0,1,0,0
"Brahim Díaz","Milan","Midfielder",5,2,2,1,5,1,0,1,0,0,1,0,0
"Steffen","Wolfsburg","Midfielder",5,2,2,1,5,2,0,2,0,0,2,0,0
"Dia","Villarreal","Forward",5,2,1,2,8,1,1,0,0,0,1,0,0
