player_name,club,assists,corner_taken,offsides,dribbles,position,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_completed,freekicks_taken,match_played
Aaronson,Salzburg,2,4,5,9,Midfielder,76.1,239,181,27,18,5,4,8
Adeyemi,Salzburg,1,0,0,23,Forward,53.1,90,49,28,7,2,1,8
Aebischer,Young Boys,1,11,0,6,Midfielder,85.5,272,235,47,21,10,3,6
Alan Patrick,Shakhtar Donetsk,1,4,0,5,Midfielder,81.3,153,127,50,4,2,4,4
Alexander-Arnold,Liverpool,4,36,0,9,Defender,80,685,556,29,81,24,28,9
Alexis Sánchez,Inter,1,0,3,2,Forward,80,67,54,0,0,0,0,6
André Silva,Leipzig,2,0,9,5,Forward,83.8,99,82,66,3,2,1,6
Angeliño,Leipzig,3,8,0,4,Defender,72.4,180,132,26,30,8,10,5
Antony,Ajax,5,3,4,28,Forward,81.9,322,262,18,27,5,2,7
Arnold,Wolfsburg,3,10,0,1,Midfielder,78.7,266,210,38,18,7,25,6
Asensio,Real Madrid,2,5,0,1,Forward,72.6,89,75,25,4,1,1,8
Aurier,Villarreal,1,1,0,0,Defender,91.8,66,58,0,2,0,0,5
Azmoun,Zenit,1,0,1,2,Forward,53.6,56,38,50,2,1,0,5
Azpilicueta,Chelsea,1,0,0,3,Defender,88,491,434,15,19,3,3,9
Bellingham,Dortmund,3,1,1,24,Midfielder,86.8,281,246,28,7,2,4,6
Bentancur,Juventus,1,0,1,2,Midfielder,83,206,176,0,4,0,0,5
Benzema,Real Madrid,1,2,9,18,Forward,83.1,523,433,20,10,2,4,12
Berghuis,Ajax,1,15,2,3,Forward,82,277,229,32,28,9,2,8
Bernardeschi,Juventus,2,7,1,7,Midfielder,87.2,131,111,38,18,7,7,5
Bernardo Silva,Man. City,3,2,3,18,Midfielder,91.6,462,427,23,17,4,5,11
Birmančević,Malmö,1,0,0,19,Midfielder,75,92,66,33,3,1,3,6
Blind,Ajax,1,0,1,8,Defender,83.9,439,368,53,15,8,17,8
Brahim Díaz,Milan,1,0,0,19,Midfielder,78.8,124,98,0,1,0,1,5
Bruno Fernandes,Man. United,7,10,2,7,Midfielder,78.2,324,250,21,28,6,11,7
Bruno Tabata,Sporting CP,1,2,0,2,Midfielder,74,76,58,20,5,1,4,4
Camavinga,Real Madrid,1,0,1,2,Midfielder,87.7,179,158,0,1,0,7,10
Capoue,Villarreal,4,0,0,17,Midfielder,87.2,491,438,50,2,1,4,12
Carvajal,Real Madrid,1,0,1,9,Defender,87.3,576,503,34,23,8,11,11
Christensen,Chelsea,1,0,0,1,Defender,93.4,552,517,50,2,1,7,8
Coman,Bayern,3,4,4,59,Forward,84.2,329,271,30,42,13,0,9
Cristiano,Sheriff,3,0,1,7,Defender,73.3,159,117,42,21,9,4,6
Dahoud,Dortmund,2,7,1,3,Midfielder,86,141,117,60,5,3,2,4
Danilo,Juventus,1,0,0,1,Defender,89.6,362,331,0,7,0,9,5
Danjuma,Villarreal,2,3,8,31,Midfielder,78.6,165,128,38,13,5,0,11
Davies,Bayern,2,0,0,18,Midfielder,86.7,278,236,26,15,4,4,7
De Bruyne,Man. City,4,18,0,14,Midfielder,82.6,397,334,26,41,11,18,10
De Ketelaere,Club Brugge,1,6,10,6,Forward,73,157,116,30,13,4,2,6
De Sciglio,Juventus,1,0,0,4,Defender,85.3,144,126,30,23,7,0,4
Di María,Paris,1,8,1,3,Forward,69.6,154,135,28,7,2,4,5
Diogo Jota,Liverpool,1,0,4,19,Forward,80.5,234,189,0,1,0,0,11
Douglas Santos,Zenit,2,6,1,3,Defender,85,238,202,39,23,9,4,5
Dumfries,Inter,1,0,0,5,Defender,77.2,124,93,14,14,2,0,7
Dybala,Juventus,1,2,0,8,Forward,87,178,156,11,9,1,3,5
Džeko,Inter,1,0,2,4,Forward,72.9,157,116,0,6,0,1,7
Dzyuba,Zenit,1,0,2,1,Forward,65.8,61,39,0,0,0,0,6
Fernandinho,Man. City,2,0,0,1,Midfielder,85.3,291,254,40,5,2,12,8
Foden,Man. City,2,13,6,12,Midfielder,81.1,287,238,26,23,6,3,11
